task,model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high
cookieTheft,acoustic,0.045963935070778804,0.017837416382030322,0.00797713511463763,0.030328750246089047,0.06159911989546856
cookieTheft,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
cookieTheft,demographics,0.010282008146285238,0.008273807395126325,0.003700159153648585,0.0030296962051340115,0.017534320087436463
cookieTheft,full,-0.0023295502697331825,0.05157305347330451,0.0230641706747081,-0.047535324792161056,0.042876224252694696
cookieTheft,linguistic,-0.023756304510405557,0.04872671789935454,0.0217912507086825,-0.06646715589942326,0.018954546878612144
cookieTheft,linguistic+acoustic,0.00020471394217784765,0.05273758647737876,0.023584965666538515,-0.046021818764237644,0.046431246648593334
journaling,acoustic,0.02424828715546563,0.0341384973266244,0.015267200134405398,-0.005675425107968951,0.05417199941890021
journaling,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
journaling,demographics,0.010282008146285238,0.008273807395126325,0.003700159153648585,0.0030296962051340115,0.017534320087436463
journaling,full,-0.03967738955772191,0.021630881145964145,0.009673624131118875,-0.0586376928547149,-0.020717086260728917
journaling,linguistic,-0.050018613494150176,0.02988675714360976,0.013365764120027773,-0.07621551116940462,-0.02382171581889574
journaling,linguistic+acoustic,-0.0400318748041252,0.02340027006745003,0.01046491891253437,-0.060543115872692566,-0.019520633735557836
picnicScene,acoustic,0.044267050310254866,0.023096431134599388,0.010329038010921365,0.02402213580884899,0.06451196481166074
picnicScene,baseline,-0.0010372905561785827,0.0013794000089777973,0.0006168864376476349,-0.002246387973967947,0.00017180686161078168
picnicScene,demographics,0.010282008146285238,0.008273807395126325,0.003700159153648585,0.0030296962051340115,0.017534320087436463
picnicScene,full,0.009772075855616725,0.044904590975448515,0.02008194358458529,-0.029588533570170442,0.049132685281403896
picnicScene,linguistic,-0.004859168005091697,0.029480655399317483,0.01318414989882402,-0.030700101806786777,0.02098176579660338
picnicScene,linguistic+acoustic,0.011541047650756187,0.04839670755980682,0.021643665598181205,-0.030880536921678973,0.05396263222319135
